number,date,state,g/r,g,r,name,img,age,how,kbp_link,news_link_text
1111,"December 31, 2014",GA,M/B,M,B,Kevin Davis,"""http://www.killedbypolice.net/victims/141100.jpg""",44,G,"""http://facebook.com/KilledByPolice/posts/980898061938331""","""http://www.alternet.org/news-amp-politics/kevin-davis-called-cops-help-out-friend-trouble-and-was-shot-death-police-his"""
1110,"December 31, 2014",CA,F/L,F,L,Mayra Cornejo,"""http://www.killedbypolice.net/victims/141099.jpg""",34,G,"""http://facebook.com/KilledByPolice/posts/963820150312789""","""http://www.presstelegram.com/general-news/20150101/armed-woman-killed-in-compton-deputy-involved-shooting"""
1109,"December 31, 2014",KY,M/W,M,W,Ernest Lee Erwin 48,"""http://www.killedbypolice.net/victims/141098.jpg""",unknown,G,"""http://facebook.com/KilledByPolice/posts/963803233647814""","""http://www.wowktv.com/story/27741437/a-domestic-violence-call-turns-into-fatal-officer-involved-shooting-in-carter-county-ky"""
1108,"December 31, 2014",FL,M/B,M,B,Eric Tyrone Forbes,"""http://www.killedbypolice.net/victims/141097.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/963124750382329""","""http://www.local10.com/news/1-dead-in-new-years-eve-policeinvolved-shooting-in-miami/30477214"""
1107,"December 31, 2014",MT,M/W,M,W,Kaileb Cole Williams,"""http://www.killedbypolice.net/victims/141096.jpg""",20,G,"""http://facebook.com/KilledByPolice/posts/963119787049492""","""http://missoulian.com/news/local/updated-missoula-officer-kills-suspect-after-domestic-violence-call-high/article_3cb67160-90fb-11e4-8cc0-bfd1af592464.html"""
1106,"December 31, 2014",NJ,M/B,M,B,Jerame C. Reid,"""http://www.killedbypolice.net/victims/141095.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/962843790410425""","""http://www.nbcphiladelphia.com/news/local/Person-Struck-During-Police-Involved-Shooting-in-Bridgeton-New-Jersey-287176751.html"""
1105,"December 31, 2014",AL,M/W,M,W,Robert Earl Lawrence,"""http://www.killedbypolice.net/victims/141094.jpg""",30,G,"""http://facebook.com/KilledByPolice/posts/962839993744138""","""http://www.wtvy.com/home/headlines/Dothan-Animal-Shelter-Shooting-287135311.html"""
1104,"December 30, 2014",PA,M/W,M,W,Joseph Anthony Pacini,"""http://www.killedbypolice.net/victims/141093.jpg""",52,G,"""http://facebook.com/KilledByPolice/posts/962259440468860""","""http://6abc.com/news/sources-suspect-shot-killed-by-police-in-drexel-hill/455767/"""
1103,"December 30, 2014",FL,M/W,M,W,Timothy Edward West,"""http://www.killedbypolice.net/victims/141092.jpg""",48,G,"""http://facebook.com/KilledByPolice/posts/961975447163926""","""http://www.firstcoastnews.com/story/news/local/2014/12/29/st-johns-county-armed-suspect-killed/21031459/"""
1102,"December 29, 2014",AL,M/W,M,W,Thomas Monts Jr.,"""http://www.killedbypolice.net/victims/141091.jpg""",39,G,"""http://facebook.com/KilledByPolice/posts/961961870498617""","""http://www.wsfa.com/story/27723843/sbi-investigating-fatal-officer-involved-shooting-in-dallas-county"""
1101,"December 29, 2014",CA,M/W,M,W,Robert Battaglia,"""http://www.killedbypolice.net/victims/141090.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/961958203832317""","""http://www.chicoer.com/general-news/20141229/man-shot-killed-by-sheriffs-deputy-in-paradise"""
1100,"December 28, 2014",AZ,M  ,M,unknown,Daniel Gray,,51,G,"""http://facebook.com/KilledByPolice/posts/961029530591851""","""http://dcourier.com/main.asp?SectionID=1&SubSectionID=1&ArticleID=140081"""
1099,"December 28, 2014",NJ,M/W,M,W,Matthew McCloskey,"""http://www.killedbypolice.net/victims/141088.jpg""",10,V,"""http://facebook.com/KilledByPolice/posts/961021950592609""","""http://6abc.com/news/child-fatally-struck-by-police-cruiser-in-franklin-twp/453560/"""
1098,"December 28, 2014",UT,M/W,M,W,Nicholas Ryan McGehee,"""http://www.killedbypolice.net/victims/141087.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/960790877282383""","""http://www.ksl.com/?nid=148&sid=32903088"""
1097,"December 28, 2014",FL,M/B,M,B,David Andre Scott,"""http://www.killedbypolice.net/victims/141086.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/960736463954491""","""http://www.actionnewsjax.com/news/news/local/swat-called-out-fort-caroline-area/njbtC/"""
1096,"December 28, 2014",CA,M/W,M,W,Craig Schiffer,"""http://www.killedbypolice.net/victims/141085.jpg""",54,V,"""http://facebook.com/KilledByPolice/posts/960718620622942""","""http://www.nbcnewyork.com/news/local/Pedestrian-Hit-by-Suffolk-County-Police-Car-Dies-286954831.html"""
1095,"December 27, 2014",AL,M/W,M,W,Darren Robert Kindgren,,51,G,"""http://facebook.com/KilledByPolice/posts/960301730664631""","""http://www.al.com/news/birmingham/index.ssf/2014/12/51-year-old_man_shot_to_death.html"""
1094,"December 26, 2014",FL,M/B,M,B,Quentin Smith,"""http://www.killedbypolice.net/victims/141083.jpg""",23,G,"""http://facebook.com/KilledByPolice/posts/959280950766709""","""http://www.wesh.com/news/sheriff-brevard-deputy-fatally-shoots-armed-wanted-man/30415088"""
1093,"December 26, 2014",IL,M/B,M,B,Terrence Gilbert,"""http://www.killedbypolice.net/victims/141082.jpg""",25,G,"""http://facebook.com/KilledByPolice/posts/959121580782646""","""http://www.chicagotribune.com/news/local/breaking/chi-suicidal-man-shot-after-attacking-officer-20141225-story.html?track=rss"""
1092,"December 26, 2014",OH,M/W,M,W,John Hebebrand,"""http://www.killedbypolice.net/victims/141081.jpg""",43,G,"""http://facebook.com/KilledByPolice/posts/959096680785136""","""http://www.19actionnews.com/story/27709268/bedford-resident-shot-and-killed-during-confrontation-with-police"""
1091,"December 26, 2014",TX,M/B,M,B,Carlton Wayne Smith,"""http://www.killedbypolice.net/victims/141080.jpg""",20,G,"""http://facebook.com/KilledByPolice/posts/959091680785636""","""http://www.kvue.com/story/news/state/2014/12/26/police-shoot-kill-man-firing-gun-in-texas-city-parking-lot/20907475/"""
1090,"December 25, 2014",CA,M/L,M,L,Francisco Manuel Cesena,"""http://www.killedbypolice.net/victims/141079.jpg""",40,T,"""http://facebook.com/KilledByPolice/posts/958718967489574""","""http://timesofsandiego.com/crime/2014/12/24/man-dies-tasered-fight-border-patrol/"""
1089,"December 25, 2014",CA,M/L,M,L,Omar Rodriguez,,35,G,"""http://facebook.com/KilledByPolice/posts/958625570832247""","""http://www.kesq.com/news/officer-involved-shooting-in-coachella/30399260"""
1088,"December 24, 2014",FL,M/O,M,O,Khamis Shatara,"""http://www.killedbypolice.net/victims/141077.jpg""",21,G,"""http://facebook.com/KilledByPolice/posts/958677844160353""","""http://www.wptv.com/news/region-s-palm-beach-county/delray-beach/off-duty-palm-beach-county-sheriffs-deputy-involved-in-delray-beach-shooting"""
1087,"December 24, 2014",DC,M/B,M,B,Gregory Marcus Gray,"""http://www.killedbypolice.net/victims/141076.jpg""",33,G,"""http://facebook.com/KilledByPolice/posts/957829244245213""","""http://www.washingtonpost.com/local/person-is-shot-in-southeast-dc/2014/12/24/507f3a78-8bac-11e4-8ff4-fb93129c9c8b_story.html"""
1086,"December 24, 2014",OR,M  ,M,unknown,Robert J. Jenkins,,55,G,"""http://facebook.com/KilledByPolice/posts/957402337621237""","""http://www.oregonlive.com/portland/index.ssf/2014/12/man_dies_after_officer-involve.html"""
1085,"December 24, 2014",MO,M/B,M,B,Antonio Martin,"""http://www.killedbypolice.net/victims/141074.jpg""",18,G,"""http://facebook.com/KilledByPolice/posts/957209487640522""","""http://www.nbcnews.com/news/us-news/fatal-cop-shooting-antonio-martin-berkeley-missouri-sparks-clashes-n274181"""
1084,"December 23, 2014",FL,M  ,M,unknown,James Arlen Monroe Jr.,,61,G,"""http://facebook.com/KilledByPolice/posts/956769211017883""","""http://www.theledger.com/article/20141223/NEWS/141229713"""
1083,"December 22, 2014",MN,M/W,M,W,Timothy Rundquist,"""http://www.killedbypolice.net/victims/141072.jpg""",62,V,"""http://facebook.com/KilledByPolice/posts/956472201047584""","""http://www.valleynewslive.com/home/headlines/Man-Dead-in-Otter-Tail-Police-Chase-286635971.html"""
1082,"December 22, 2014",NM,M/L,M,L,Jose Salas,"""http://www.killedbypolice.net/victims/141071.jpg""",29,G,"""http://facebook.com/KilledByPolice/posts/956436677717803""","""http://www.lcsun-news.com/las_cruces-news/ci_27188392/breaking-lcpd-responds-apparent-officer-involved-shooting"""
1081,"December 22, 2014",KY,M/W,M,W,Allen Berly Todd Jr.,"""http://www.killedbypolice.net/victims/141070.jpg""",27,G,"""http://facebook.com/KilledByPolice/posts/956324634395674""","""http://www.wcpo.com/news/local-news/kenton-county/independence/boone-county-robbery-suspect-shot-in-independence-ky"""
1080,"December 22, 2014",GA,M/W,M,W,Austin Leake,"""http://www.killedbypolice.net/victims/141069.jpg""",20,G,"""http://facebook.com/KilledByPolice/posts/956127221082082""","""http://www.ajc.com/news/news/gunman-dead-after-police-shootout-swat-standoff-in/njYQQ/"""
1079,"December 21, 2014",CA,M/W,M,W,William Everett Corson,"""http://www.killedbypolice.net/victims/141068.jpg""",53,G,"""http://facebook.com/KilledByPolice/posts/955863464441791""","""http://www.sacbee.com/news/local/crime/article4774815.html"""
1078,"December 21, 2014",DE,M/W,M,W,James Long,"""http://www.killedbypolice.net/victims/141067.jpg""",52,G,"""http://facebook.com/KilledByPolice/posts/955795677781903""","""http://www.doverpost.com/article/20141221/NEWS/141229971/13421/NEWS"""
1077,"December 21, 2014",MT,M/W,M,W,Nicholas Tyson Frazier,"""http://www.killedbypolice.net/victims/141066.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/955275184500619""","""http://mtstandard.com/news/local/deer-lodge-policeman-involved-in-shooting-death/article_ed696131-c760-518e-87b0-efe49d186270.html"""
1076,"December 20, 2014",OK,M/L,M,L,Martin Sanchez-Juarez,"""http://www.killedbypolice.net/victims/141065.jpg""",34,G,"""http://facebook.com/KilledByPolice/posts/962835743744563""","""http://www.normantranscript.com/news/man-in-officer-involved-shooting-deceased/article_0f8b9cf8-906d-11e4-aefb-5be4b0e05c7c.html"""
1075,"December 20, 2014",SD,M/I,M,I,Allen Locke,"""http://www.killedbypolice.net/victims/141064.jpg""",30,G,"""http://facebook.com/KilledByPolice/posts/955035887857882""","""http://www.blackhillsfox.com/home/headlines/Suspect-dead-after-RCPD-encountered-an-officer-involved-shooting-286481371.html"""
1074,"December 19, 2014",MO,M/B,M,B,Terrell Beasley,"""http://www.killedbypolice.net/victims/2170.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/1019441524750651""","""http://www.stltoday.com/news/local/crime-and-courts/recent-parolee-charged-in-shooting-of-off-duty-st-louis/article_da90c18a-2bb0-5767-a467-1ecf1f04d788.html"""
1073,"December 19, 2014",AZ,M/W,M,W,Joshua G. Dawson,"""http://www.killedbypolice.net/victims/141063.jpg""",35,G,"""http://facebook.com/KilledByPolice/posts/954181861276618""","""http://www.kpho.com/story/27660383/pd-phoenix-officer-involved-in-shooting"""
1072,"December 18, 2014",TX,F/W,F,W,Sandra Simpson,"""http://www.killedbypolice.net/victims/141062.jpg""",32,G,"""http://facebook.com/KilledByPolice/posts/956248974403240""","""http://www.newswest9.com/story/27661517/midland-police-officers-wife-declared-dead"""
1071,"December 18, 2014",CA,M/I,M,I,Richard Frederick Tis'mil Estrada,"""http://www.killedbypolice.net/victims/141061.jpg""",17,G,"""http://facebook.com/KilledByPolice/posts/953774281317376""","""http://www.krcrtv.com/news/local/chp-officer-shoots-and-kills-driver-on-highway-299/30298038"""
